Activity,Hours,Part of day,Holiday,Tag,Important Level
HUEN 1010 Read Odyssey Books 5-8,24.0,0,1,Miscellaneous,0
HUEN 1010 Explication Email Odyssey,24.0,0,1,Miscellaneous,0
PHYS 1120 FlipItPhysics Due,24.0,0,1,Academic,1
Attack Lab Due,24.0,0,1,Academic,1
PHYS 1120 FlipItPhysics Due,24.0,0,1,Academic,1
Red Book HW Due,24.0,0,1,Academic,1
PHYS 1120 FlipItPhysics Due,24.0,0,1,Academic,1
HUEN 1010 Read Odyssey Books 13-18,24.0,0,0,Miscellaneous,0
CSCI 2824 Homework Due,24.0,0,0,Academic,1
HUEN 1010 Explication Email about Odyssey,24.0,0,0,Miscellaneous,0
HUEN 1010 Read Odyssey Books 19-24,24.0,0,0,Miscellaneous,0
HUEN 1010 Bring FSP to Class,24.0,0,0,Academic,1
Red Book HW Due,24.0,0,0,Academic,1
PHYS 1120 FlipItPhysics Due,24.0,0,0,Academic,1
PHYS 1120 FlipItPhysics Due,24.0,0,0,Academic,1
HUEN 1010 Prepare for Quiz 3,24.0,0,0,Academic,1
Red Book HW Due,24.0,0,1,Academic,1
PHYS 1120 FlipItPhysics Due,24.0,0,1,Academic,1
Performance Lab Due,24.0,0,1,Entertainment,0
PHYS 1120 FlipItPhysics Due,24.0,0,1,Academic,1
HUEN 1010 Bring Copy Of SSP Outline to Class,24.0,0,1,Academic,1
Red Book HW Due,24.0,0,1,Academic,1
PHYS 1120 FlipItPhysics Due,24.0,0,1,Academic,1
CSCI 2824 Homework Due,24.0,0,1,Academic,1
PHYS 1120 FlipItPhysics Due,24.0,0,0,Academic,1
Red Book HW Due,24.0,0,0,Academic,1
PHYS 1120 FlipItPhysics Due,24.0,0,0,Academic,1
PHYS 1120 FlipItPhysics Due,24.0,0,0,Academic,1
PHYS 1120 FlipItPhysics Due,24.0,0,0,Academic,1
Red Book HW Due,24.0,0,0,Academic,1
PHYS 1120 FlipItPhysics Due,24.0,0,0,Academic,1
PHYS 1120 FlipItPhysics Due,24.0,0,0,Academic,1
Shell Lab Due,24.0,0,0,Academic,1
Red Book HW Due,24.0,0,0,Academic,1
HUEN 1010 SSP Essay Due By Email,0.0,1,1,Academic,1
Algorithms HW Due,24.0,0,1,Academic,1
Phil 2240 HW Due,24.0,0,1,Academic,1
Linear HW Due,24.0,0,1,Academic,1
COMM 3620 HW Due,24.0,0,0,Academic,1
Algorithms HW Due,24.0,0,0,Academic,1
Algorithms HW Due,24.0,0,0,Academic,1
Algorithms HW Due,24.0,0,0,Academic,1
Algorithms HW Due,24.0,0,0,Academic,1
Project Milestone 1 Due,24.0,0,0,Academic,1
Algorithms HW Due,24.0,0,1,Academic,1
Algorithms HW Due,24.0,0,1,Academic,1
Finish Soft Dev Project + HW,24.0,0,1,Academic,1
Algorithms HW Due,24.0,0,1,Academic,1
Algorithms HW Due,24.0,0,0,Academic,1
Sam Feig initial advising meeting,0.75,0,0,Miscellaneous,0
Bystander training,1.0,1,0,Miscellaneous,0
First day of class CU,24.0,0,0,Miscellaneous,0
Career Development - Google “Welcome Back” Info Table,3.0,0,0,Personal,0
Career Development - Google Technical Resume Workshop,1.5,1,0,Personal,0
Career Development - JPL Show & Tech,1.5,2,0,Personal,0
CU Class Add Deadline,24.0,0,0,Academic,1
Career Development - Google Building Your Technical Career,1.5,1,0,Personal,0
Computer Science Ice Cream Social,2.0,1,0,Miscellaneous,0
Career Development - The Aerospace Corporation Show & Tech,1.5,2,0,Personal,0
Print Resume @ Kitt Central,1.0,0,0,Miscellaneous,0
Cyber security Club meeting,1.0,2,0,Entertainment,0
CU Class Drop Deadline,24.0,0,0,Academic,1
Andrews hall council meeting,1.0,2,0,Miscellaneous,0
Apple Career Faire,4.0,0,0,Personal,0
Technical Resumes 101,1.0,1,0,Miscellaneous,0
Cybersecurity Club CSAW CTF,2.0,1,0,Entertainment,0
CSCI 1000 Class Hike,2.0,1,0,Academic,1
ASV Connect mini Aerospace Career Faire,3.0,1,0,Personal,0
Career Development - Technical Resume Critiques,4.5,0,0,Personal,0
Ball Aerospace Tour,3.0,1,0,Miscellaneous,0
Andrews 14er Meeting,1.0,2,0,Academic,1
EHP Breakfast at the Julien,1.5,0,0,Personal,0
Career Development - Lockheed Martin Show & Tech,1.5,2,0,Personal,0
CyberSecurity Club Meeting,1.0,2,0,Entertainment,0
Career Development - Navigating the Career Fair,1.5,1,0,Personal,0
Andrews 14er,48.0,0,0,Miscellaneous,0
Solar Sails: Traveling the Solar System,1.0,1,0,Miscellaneous,0
EHP Astronaut Scholarship Event,2.0,1,0,Entertainment,0
Ralphie's Corral Tailgate,3.0,1,0,Miscellaneous,0
CCDC Meeting,2.0,1,0,Academic,1
CSEN Advising - Carrie Sadler,0.5,1,0,Miscellaneous,0
Find Mary about the Andrews Lighting & Sound,3.0,1,0,Miscellaneous,0
Career Development - Micron Show & Tech,1.5,1,0,Personal,0
Fall Technology Career Fair,5.0,0,0,Personal,0
Scott Kelly Presentation,2.25,2,0,Miscellaneous,0
CU Family weekend,96.0,0,0,Miscellaneous,0
Fall Technology Career Fair,5.0,0,0,Personal,0
EHP Open Mic Night,24.0,0,0,Entertainment,0
Intermediate backpacking trip,48.0,0,0,Travel,1
CSCI 2275 Interview Grading,0.5,2,0,Academic,1
Flu Shots at Wardenburg,2.5,0,0,Miscellaneous,0
Cyber Security Club Officer Interview,0.5,1,0,Entertainment,0
Lockheed Martin Software Academy Interview,0.75,1,0,Academic,1
Call with LogRhythm,1.0,1,0,Miscellaneous,0
Career Development - Autonomous Vehicles Buff Talk,1.5,1,0,Personal,0
Fall All-Campus Career Fair,5.0,0,0,Personal,0
Andrews Anderson Farms Pumpkin Patch Trip,4.0,0,0,Travel,1
Raytheon Cyber Interview,1.0,1,0,Academic,1
InternshipWorks Faire,5.0,0,0,Personal,0
EHON 1151 Recitation Symposium Dinner,6.0,1,0,Personal,0
Last Day to Request Final Exam Reschedule,24.0,0,0,Academic,1
Assignment 7 Interview Grading,0.25,1,0,Academic,1
Dinner at the McDougall's House,3.0,2,0,Personal,0
CU Spring Class Enrollment Begins,12.0,0,0,Academic,1
Meeting,1.0,1,0,Academic,1
EHP Andrews Goes to the Movies - Fantastic Beasts II,2.0,2,0,Entertainment,0
Sam's CU Thanksgiving Break,120.0,0,0,Miscellaneous,0
APPM 1360 Midterm 3 Review Session,1.5,2,0,Academic,1
Aerospace Resume Workshop,1.0,1,0,Academic,1
Meeting with Dave (ITLL Sys Admin),1.0,1,0,Academic,1
CSCI 2275 Final Project Proposal Meeting,0.25,0,0,Academic,1
CSCI 2275 Interview Grading,0.25,0,0,Academic,1
Taste of Home Recipie at C4C,3.0,1,0,Miscellaneous,0
CU Last Day of Class,24.0,0,0,Academic,1
Critical Encounters Recitation Movie Night,3.0,1,0,Entertainment,0
CU Reading Day,24.0,0,0,Miscellaneous,0
CSCI 2275 Final Project Interview Grading,0.25,0,0,Academic,1
APPM 1360 Final Exam Review Session,2.0,1,0,Academic,1
CU Final Exams,120.0,0,0,Academic,1
APPM 1360 Final Exam Review Session,1.5,0,0,Academic,1
Palo Alto Networks Interview,1.0,1,0,Academic,1
Sam's CU Winter Break,552.0,0,0,Miscellaneous,0
CU First Day of Class,24.0,0,0,Academic,1
CU Campus Closed,24.0,0,0,Academic,1
ASV Lecture 'Working for Gov Contractors',1.0,1,0,Academic,1
Last Day to Add Classes,24.0,0,0,Academic,1
Data Lab Interview Grading,0.3333333333333333,1,0,Academic,1
Last Day to Drop Classes,24.0,0,0,Academic,1
EHP Castle Retreat,48.0,0,1,Miscellaneous,0
PHYS 1120 Midterm 1,1.5,2,1,Academic,1
Buff Chat with Bryn,0.5,1,1,Miscellaneous,0
Skiing at Keystone,11.0,0,1,Miscellaneous,0
Call with MITRE,1.0,1,1,Miscellaneous,0
Internship Works Computing Career Fair,6.0,0,1,Personal,0
CSCI 2824 Exam 1,1.5,2,0,Academic,1
Fw: Inventory Requirement Gathering,1.0,0,0,Miscellaneous,0
CSCI 2400 Bomb Lab Interview Grading,0.3333333333333333,1,0,Academic,1
HackCU V,30.0,0,0,Miscellaneous,0
CSCI 2400 Quiz 2,1.0,2,0,Academic,1
Call with MITRE,1.0,1,0,Miscellaneous,0
Career Development - Lockheed Martin Show & Tech,2.0,2,0,Personal,0
JPL Interview,1.0,1,1,Academic,1
Call With MITRE,1.0,1,1,Miscellaneous,0
HUEN 1010 FSP Conference,0.5,1,1,Miscellaneous,0
PHYS 1120 Midterm 2,1.5,2,1,Academic,1
Andrews Spring cultural event,24.0,0,1,Entertainment,0
MITRE Offer Acceptance Due,24.0,0,1,Academic,1
Advisor Appointment,1.0,1,0,Academic,1
CSCI 2400 Exam 1,24.0,0,0,Academic,1
CSCI 2824 Exam 2,1.5,2,0,Academic,1
CSCI 2400 Exam 2,24.0,0,0,Academic,1
Sams' CU Spring Break,120.0,0,0,Miscellaneous,0
Fingerprinting,1.0,1,1,Miscellaneous,0
CU Fall Class Enrollment Begins,1.0,1,1,Academic,1
HUEN 1010 SSP Conference,0.25,1,1,Miscellaneous,0
PHYS 1120 Midterm 3,1.5,2,1,Academic,1
Prashil's Graduation Celebration!,2.0,2,1,Miscellaneous,0
CSCI 2400 Perf Lab Interview Grading,0.3333333333333333,1,0,Academic,1
Call With MITRE,1.0,1,0,Miscellaneous,0
Engineering Projects Expo,3.5,1,0,Academic,1
EHP Spring Banquet,2.5,2,0,Miscellaneous,0
CSCI 2400 Shell Lab Interview Grading,0.16666666666666666,0,0,Academic,1
Sam's CU Last Day of Class,24.0,0,1,Academic,1
CU Reading Day,24.0,0,1,Miscellaneous,0
CU Final Exams,120.0,0,1,Academic,1
PHYS 1120 Final Exam,2.5,0,1,Academic,1
Return Books and Bike Station,1.0,1,1,Miscellaneous,0
CSCI 2400 Final Exam,2.5,2,1,Academic,1
CSCI 2824 Final Exam,2.5,1,1,Academic,1
CU Commencement,24.0,0,1,Miscellaneous,0
FW: MITRE's Annual Run/Walk for Fun!,1.25,1,0,Health,1
Returning Student Meeting,1.0,1,0,Academic,1
CU Cyber Security Club Planning,2.0,1,0,Entertainment,0
CU First Day of Class,24.0,0,0,Academic,1
Aerospace Building Ceremony,1.5,1,0,Academic,1
EHP Returning Students Meeting,1.0,2,0,Academic,1
Andrews 14er Meeting,1.0,2,1,Academic,1
Black hole show,1.0,2,1,Personal,0
Andrews 14er,48.0,0,1,Miscellaneous,0
ASV Career Fair,3.0,1,0,Personal,0
Computing and Software Career Fair,5.0,0,0,Personal,0
Andrews Hall Breakfast,2.5,0,0,Personal,0
Global Business Minor Info Session,1.0,1,0,Miscellaneous,0
EHP Astronaut Scholarship Event,2.0,1,0,Entertainment,0
COMM 3620 Team Meeting,2.0,1,0,Academic,1
Coffee With Anna,1.25,1,0,Personal,0
STEM Industry Career & Internship Fair,5.0,0,1,Personal,0
STEM Industry Career & Internship Fair,5.0,0,1,Personal,0
Star Party,2.5,2,1,Entertainment,0
CSCI 2820 Midterm 1,24.0,0,1,Academic,1
All Industries Career & Internship Fair,5.0,0,1,Personal,0
CSCI 3308 Weekly Meeting,1.0,2,1,Academic,1
CB,49.5,1,1,Miscellaneous,0
Coffee With Anna,1.0,1,1,Personal,0
JPL Show and Tech,1.5,1,1,Personal,0
Breakfast,1.0,0,1,Personal,0
Interview with JPL,0.5,0,1,Academic,1
Birthday Dinner,1.5,1,1,Personal,0
CSCI 3104 Midterm,2.0,2,1,Academic,1
Coffee With Anna,0.5,0,0,Personal,0
CSCI 3308 Exam,1.5,2,0,Academic,1
PHIL 2440 Midterm,1.25,1,0,Academic,1
CS Advising Appointment,0.75,1,0,Academic,1
CCDC Team Meeting,2.0,1,0,Academic,1
COMM 3620 Writing Due,24.0,0,0,Academic,1
Raytheon Interview,1.0,1,0,Academic,1
Open Mic Night,4.0,2,0,Entertainment,0
Cybersecurity and Space TCP Seminar,2.0,1,1,Miscellaneous,0
CU Spring Class Enrollment Begins,24.0,0,1,Academic,1
CSCI 2820 Midterm 2,24.0,0,0,Academic,1
CSCI 3104 Midterm 2,2.0,2,0,Academic,1
Anna Orchestra Concert,1.5,2,1,Miscellaneous,0
CSCI 2820 Final Exam,24.0,0,1,Academic,1
Reading Day,24.0,0,1,Miscellaneous,0
CU Boulder Commencement,24.0,0,0,Miscellaneous,0
APPM 1360 Lecture,0.8333333333333334,0,0,Academic,1
CSCI 2275 Lecture,0.8333333333333334,0,0,Academic,1
PHYS 1110 Lecture,0.8333333333333334,1,0,Academic,1
CSCI 1000 Lecture,0.8333333333333334,1,0,Academic,1
EHON 1151 Lecture,1.25,0,0,Academic,1
APPM 1360 Recitation,0.8333333333333334,0,0,Academic,1
CSCI 2275 Recitation,1.25,1,0,Academic,1
PHYS 1110 Recitation,0.8333333333333334,1,0,Academic,1
PHYS 1110 Lecture,0.8333333333333334,1,0,Academic,1
APPM 1360 Quiz 1,24.0,0,0,Academic,1
APPM 1360 Quiz 2,24.0,0,0,Academic,1
EHON 1151 Recitation,0.8333333333333334,0,0,Academic,1
Assignment1 Interview Grading,0.16666666666666666,1,0,Academic,1
APPM 1360 Quiz 3,24.0,0,0,Academic,1
APPM 1360 Midterm 1,1.5,2,0,Academic,1
PHYS 1110 Midterm 1,1.75,2,0,Academic,1
APPM 1360 Quiz 4,24.0,0,0,Academic,1
APPM 1360 Quiz 5,24.0,0,0,Academic,1
APPM 1360 Quiz 6,24.0,0,0,Academic,1
CSCI 2275 Midterm 1,24.0,0,0,Academic,1
CSCI 2275 Lecture,0.8333333333333334,0,0,Academic,1
EHON 1151 Lecture,1.25,0,0,Academic,1
APPM 1360 Midterm 2,1.5,2,0,Academic,1
PHYS 1110 Midterm 2,1.75,2,0,Academic,1
APPM 1360 Quiz 7,24.0,0,0,Academic,1
APPM 1360 Quiz 8,24.0,0,0,Academic,1
APPM 1360 Quiz 9,24.0,0,0,Academic,1
CSCI 2275 Midterm 2,2.0,0,0,Academic,1
APPM 1360 Midterm 3,1.5,2,0,Academic,1
PHYS 1110 Midterm 3,1.75,2,0,Academic,1
APPM 1360 Quiz 10,24.0,0,0,Academic,1
EHON 1151 Final - NOTHING DURING EXAM SLOT,2.5,1,0,Academic,1
CSCI 2275 Final - OPTIONAL,2.5,2,0,Academic,1
APPM 1360 Final,2.5,0,0,Academic,1
CSCI 1000 Final,2.5,2,0,Academic,1
PHYS 1110 Final,2.5,0,0,Academic,1
CSCI 2824 Lecture,0.8333333333333334,0,0,Academic,1
PHYS 1120 Lecture,0.8333333333333334,0,0,Academic,1
HUEN 1010 Lecture,0.8333333333333334,1,0,Academic,1
CSCI 2400 Lecture,0.8333333333333334,1,0,Academic,1
CSCI 2400 Recitation,0.8333333333333334,1,0,Academic,1
PHYS 1120 Recitation,0.8333333333333334,0,0,Academic,1
PHYS 1140 Lab,1.8333333333333333,0,0,Academic,1
PHYS 1140 Lecture,0.8333333333333334,1,0,Academic,1
PHYS 1140 Lecture,0.8333333333333334,1,0,Academic,1
PHYS 1120 Recitation,0.8333333333333334,0,0,Academic,1
CSCI 3308 Lecture,0.8333333333333334,0,0,Academic,1
CSCI 3308 Lecture,0.8333333333333334,0,0,Academic,1
COMM 3620,1.25,0,0,Miscellaneous,0
COMM 3620 Lecture,1.25,0,0,Academic,1
CSCI 3104 Lecture,1.25,1,0,Academic,1
CSCI 2820 Lecture,1.25,1,0,Academic,1
PHIL 2440 Lecture,1.25,1,0,Academic,1
CSCI 3104 Recitation,0.8333333333333334,0,0,Academic,1
CSCI 3308 Lab,1.6666666666666667,0,0,Academic,1
CSCI 3104 Recitation,0.8333333333333334,0,1,Academic,1
